"Date","Alton PS 3-1: Alton PS 3-1_Water Level - Logger (Compensated & Corrected-masl)","interpolated climate_Rainfall¹ (mm)","interpolated climate_Snowmelt¹ (mm)"
2004-11-06,,0,0
2004-11-07,,0,0
2004-11-08,,0,0
2004-11-09,,0,0
2004-11-10,,0,0
2004-11-11,,0,0
2004-11-12,,0,0
2004-11-13,,0,0
2004-11-14,,0,0
2004-11-15,,0,0
2004-11-16,,0,0
2004-11-17,,1,0
2004-11-18,,0,0
2004-11-19,,3,0
2004-11-20,,2,0
2004-11-21,,0,0
2004-11-22,,0,0
2004-11-23,,1.60000002384186,0
2004-11-24,,1,0
2004-11-25,,0,0
2004-11-26,,0,0
2004-11-27,,6.5,3
2004-11-28,,1,0
2004-11-29,,0,0
2004-11-30,,0,0
2004-12-01,,0,1.09982803590666
2004-12-02,,0,0
2004-12-03,,0,0
2004-12-04,,4.24130992505597,0
2004-12-05,,0,0
2004-12-06,,0,0
2004-12-07,,13.5,4.33202815133226
2004-12-08,,0.800000011920929,6.82683388770512
2004-12-09,,0.200000002980232,0
2004-12-10,,0,0
2004-12-11,,0,0
2004-12-12,,0,0
2004-12-13,,0,0
2004-12-14,,0,0
2004-12-15,,0,0
2004-12-16,,0,0
2004-12-17,,0,0
2004-12-18,,0,0
2004-12-19,,0,0
2004-12-20,,0,0
2004-12-21,,0,0
2004-12-22,,0,0
2004-12-23,,0,0
2004-12-24,,0,0
2004-12-25,,0,0
2004-12-26,,0,0
2004-12-27,,0,0
2004-12-28,,0,0
2004-12-29,,0,0
2004-12-30,,7.74736040536318,0
2004-12-31,,0,22.6926036352161
2005-01-01,,0,0
2005-01-02,,10,0.170824008728157
2005-01-03,,0,0
2005-01-04,,0,0
2005-01-05,,0,0
2005-01-06,,0,0
2005-01-07,,0,0
2005-01-08,,0,0
2005-01-09,,0,0
2005-01-10,,0,0
2005-01-11,,0,0
2005-01-12,,6,3.47460226656013
2005-01-13,,13,45.9671897696013
2005-01-14,,0,2.94263230511778
2005-01-15,,0,0
2005-01-16,,0,0
2005-01-17,,0,0
2005-01-18,,0,0
2005-01-19,,0,0
2005-01-20,,0,0
2005-01-21,,0,0
2005-01-22,,0,0
2005-01-23,,0,0
2005-01-24,,0,0
2005-01-25,,0,0
2005-01-26,,0,0
2005-01-27,,0,0
2005-01-28,,0,0
2005-01-29,,0,0
2005-01-30,,0,0
2005-01-31,,0,0
2005-02-01,,0,0
2005-02-02,,0,0
2005-02-03,,0,0
2005-02-04,,0,0
2005-02-05,,0,0
2005-02-06,,0,0
2005-02-07,,5.69999980926514,6.13344829575815
2005-02-08,,0,0
2005-02-09,,0,0
2005-02-10,,0,0
2005-02-11,,0,0
2005-02-12,,0,0
2005-02-13,,0,0
2005-02-14,,13.316133506131,0
2005-02-15,,9,8.38179034821284
2005-02-16,,0,0
2005-02-17,,0,0
2005-02-18,,0,0
2005-02-19,,0,0
2005-02-20,,0,0
2005-02-21,,0,0
2005-02-22,,0,0
2005-02-23,,0,0
2005-02-24,,0,0
2005-02-25,,0,0
2005-02-26,,0,0
2005-02-27,,0,0
2005-02-28,,0,0
2005-03-01,,0,0
2005-03-02,,0,0
2005-03-03,,0,0
2005-03-04,,0,0
2005-03-05,,0,0
2005-03-06,,0,0
2005-03-07,,5.25595376690338,0
2005-03-08,,0,0
2005-03-09,,0,0
2005-03-10,,0,0
2005-03-11,,0,0
2005-03-12,,0,0
2005-03-13,,0,0
2005-03-14,,0,0
2005-03-15,,0,0
2005-03-16,,0,0
2005-03-17,,0,0
2005-03-18,,0,0
2005-03-19,,0,0
2005-03-20,,0,0
2005-03-21,,0,0
2005-03-22,,0,0
2005-03-23,,0,0
2005-03-24,,0,0
2005-03-25,,0,0
2005-03-26,,0,0
2005-03-27,,0,0
2005-03-28,,0,5.67533221164408
2005-03-29,,0,34.4214979907274
2005-03-30,,0,30.4402824845215
2005-03-31,,1.20000004768372,46.1803493899652
2005-04-01,,0,10
2005-04-02,,0,0
2005-04-03,,0,0
2005-04-04,,0,12.4000757714172
2005-04-05,,0,14.5999242285828
2005-04-06,,0.200000002980232,0
2005-04-07,,1.60000002384186,0
2005-04-08,,0,0
2005-04-09,,0,0
2005-04-10,,0,0
2005-04-11,,0,0
2005-04-12,,0,0
2005-04-13,,0,0
2005-04-14,,0,0
2005-04-15,,0,0
2005-04-16,,0,0
2005-04-17,,0,0
2005-04-18,,0,0
2005-04-19,,0,0
2005-04-20,,7.5,0
2005-04-21,,1,0
2005-04-22,,3.40000009536743,0
2005-04-23,,18,3
2005-04-24,,3,0
2005-04-25,,11,0
2005-04-26,,2,0
2005-04-27,,2,0
2005-04-28,,0,0
2005-04-29,,6.80000019073486,0
2005-04-30,,0.600000023841858,0
2005-05-01,,1,0
2005-05-02,,2,0
2005-05-03,,2,0
2005-05-04,,0,0
2005-05-05,,0.200000002980232,0
2005-05-06,,0,0
2005-05-07,,0,0
2005-05-08,,0,0
2005-05-09,,0,0
2005-05-10,,3.40000009536743,0
2005-05-11,,0.400000005960464,0
2005-05-12,,0,0
2005-05-13,,13,0
2005-05-14,,3.40000009536743,0
2005-05-15,,1,0
2005-05-16,,0,0
2005-05-17,,0,0
2005-05-18,,0,0
2005-05-19,,0,0
2005-05-20,,0,0
2005-05-21,,0,0
2005-05-22,,0,0
2005-05-23,,5,0
2005-05-24,,1.20000004768372,0
2005-05-25,,0,0
2005-05-26,,2.79999995231628,0
2005-05-27,,0.5,0
2005-05-28,,4.09999990463257,0
2005-05-29,,7,0
2005-05-30,,0.200000002980232,0
2005-05-31,,0,0
2005-06-01,,0,0
2005-06-02,,0,0
2005-06-03,,0,0
2005-06-04,,0,0
2005-06-05,,1,0
2005-06-06,,0,0
2005-06-07,,0,0
2005-06-08,,0.600000023841858,0
2005-06-09,,0,0
2005-06-10,,0,0
2005-06-11,,0,0
2005-06-12,,1,0
2005-06-13,,15.3999996185303,0
2005-06-14,,7.09999990463257,0
2005-06-15,,1.79999995231628,0
2005-06-16,,0.400000005960464,0
2005-06-17,,1,0
2005-06-18,,0,0
2005-06-19,,0,0
2005-06-20,,0,0
2005-06-21,,2,0
2005-06-22,,0,0
2005-06-23,,0,0
2005-06-24,,0,0
2005-06-25,,0,0
2005-06-26,,0,0
2005-06-27,,0,0
2005-06-28,,2,0
2005-06-29,,0,0
2005-06-30,,0,0
2005-07-01,,0,0
2005-07-02,,0,0
2005-07-03,,0,0
2005-07-04,,13,0
2005-07-05,,4,0
2005-07-06,,0.600000023841858,0
2005-07-07,,0,0
2005-07-08,,30,0
2005-07-09,,0,0
2005-07-10,,0,0
2005-07-11,,0,0
2005-07-12,,0,0
2005-07-13,,0.800000011920929,0
2005-07-14,,4.5,0
2005-07-15,,0,0
2005-07-16,,66,0
2005-07-17,,2.59999990463257,0
2005-07-18,,1,0
2005-07-19,,0,0
2005-07-20,,0,0
2005-07-21,,0,0
2005-07-22,,0,0
2005-07-23,,0,0
2005-07-24,,0.600000023841858,0
2005-07-25,,0,0
2005-07-26,,11.1999998092651,0
2005-07-27,,1,0
2005-07-28,,0,0
2005-07-29,,0.400000005960464,0
2005-07-30,,0,0
2005-07-31,,6,0
2005-08-01,,0.400000005960464,0
2005-08-02,,0,0
2005-08-03,,0,0
2005-08-04,,10.3999996185303,0
2005-08-05,,0.800000011920929,0
2005-08-06,,0,0
2005-08-07,,0,0
2005-08-08,,0,0
2005-08-09,,0,0
2005-08-10,,8.80000019073486,0
2005-08-11,,0,0
2005-08-12,,1,0
2005-08-13,,4,0
2005-08-14,,0,0
2005-08-15,,0,0
2005-08-16,,0,0
2005-08-17,,0,0
2005-08-18,,15.3999996185303,0
2005-08-19,,80,0
2005-08-20,,2,0
2005-08-21,,0.400000005960464,0
2005-08-22,,0.400000005960464,0
2005-08-23,,0.200000002980232,0
2005-08-24,,0,0
2005-08-25,,0,0
2005-08-26,,0,0
2005-08-27,,5.30000019073486,0
2005-08-28,,0.400000005960464,0
2005-08-29,,3.79999995231628,0
2005-08-30,,13.8000001907349,0
2005-08-31,,1.20000004768372,0
2005-09-01,,0.400000005960464,0
2005-09-02,,0,0
2005-09-03,,0,0
2005-09-04,,0,0
2005-09-05,,0.400000005960464,0
2005-09-06,,0,0
2005-09-07,,5.19999980926514,0
2005-09-08,,0.600000023841858,0
2005-09-09,,0,0
2005-09-10,,0,0
2005-09-11,,0,0
2005-09-12,,0,0
2005-09-13,,0,0
2005-09-14,,0,0
2005-09-15,,1,0
2005-09-16,,12,0
2005-09-17,,0,0
2005-09-18,,0.200000002980232,0
2005-09-19,,1.79999995231628,0
2005-09-20,,0.400000005960464,0
2005-09-21,,0,0
2005-09-22,,6,0
2005-09-23,,0,0
2005-09-24,,3.59999990463257,0
2005-09-25,,22.3999996185303,0
2005-09-26,,4.19999980926514,0
2005-09-27,,0.400000005960464,0
2005-09-28,,16.7999992370605,0
2005-09-29,,1,0
2005-09-30,,0.200000002980232,0
2005-10-01,,0,0
2005-10-02,,0,0
2005-10-03,,0,0
2005-10-04,,0,0
2005-10-05,,0,0
2005-10-06,,0,0
2005-10-07,,0,0
2005-10-08,,0,0
2005-10-09,,0,0
2005-10-10,,0.400000005960464,0
2005-10-11,,1.79999995231628,0
2005-10-12,,3.20000004768372,0
2005-10-13,,2.59999990463257,0
2005-10-14,,0.400000005960464,0
2005-10-15,,1,0
2005-10-16,,0.400000005960464,0
2005-10-17,,7.40000009536743,0
2005-10-18,,0.400000005960464,0
2005-10-19,,0.600000023841858,0
2005-10-20,,1.29999995231628,0
2005-10-21,,0.400000005960464,0
2005-10-22,,15,0
2005-10-23,,2.40000009536743,0
2005-10-24,,5.80000019073486,0
2005-10-25,,1.60000002384186,0
2005-10-26,,1,0
2005-10-27,,1.89999997615814,0
2005-10-28,,0,0
2005-10-29,,0,0
2005-10-30,,0,0
2005-10-31,,3.40000009536743,0
2005-11-01,,1,0
2005-11-02,,0,0
2005-11-03,,0,0
2005-11-04,,0,0
2005-11-05,,12,0
2005-11-06,,1.60000002384186,0
2005-11-07,,0,0
2005-11-08,,7.80000019073486,0
2005-11-09,,9.10000038146973,0
2005-11-10,,0.400000005960464,0
2005-11-11,,0,0
2005-11-12,,1,0
2005-11-13,,0,0
2005-11-14,,4.19999980926514,0
2005-11-15,,39.4000015258789,0
2005-11-16,,0.400000005960464,0
2005-11-17,,0.600000023841858,0
2005-11-18,,0,0
2005-11-19,,0,0
2005-11-20,,0,0
2005-11-21,,0,0
2005-11-22,,0,0
2005-11-23,,0,0
2005-11-24,,0,0
2005-11-25,,0,0
2005-11-26,,0,0
2005-11-27,,0,0
2005-11-28,,13.1999998092651,30.5999999046326
2005-11-29,,1,0
2005-11-30,,0.600000023841858,0
2005-12-01,,0.0691115760902323,0
2005-12-02,,0,0
2005-12-03,,0,0
2005-12-04,,0,0
2005-12-05,,0,0
2005-12-06,,0,0
2005-12-07,,0,0
2005-12-08,,0,0
2005-12-09,,0,0
2005-12-10,,0,0
2005-12-11,,0,0
2005-12-12,,0,0
2005-12-13,,0,0
2005-12-14,,0,0
2005-12-15,,0,0
2005-12-16,,0,0
2005-12-17,,0,0
2005-12-18,,0,0
2005-12-19,,0,0
2005-12-20,,0,0
2005-12-21,,0,0
2005-12-22,,0,0
2005-12-23,,0,0
2005-12-24,,3,3.08888692451628
2005-12-25,,0,0.594880968723992
2005-12-26,,0,0.0839924111281816
2005-12-27,,0,0.148136701395063
2005-12-28,,14.8999996185303,0.676628644473457
2005-12-29,,0,0
2005-12-30,,0,0
2005-12-31,,0,0
2006-01-01,,0,0
2006-01-02,,0.997043800523558,0
2006-01-03,,0.200000002980232,0.116390820197267
2006-01-04,,8.19999980926514,1.45334964944576
2006-01-05,,0,0
2006-01-06,,0,0
2006-01-07,,0,0
2006-01-08,,0.460377030171464,0
2006-01-09,,0,0.0125728948389527
2006-01-10,,2.5,0.238161121766689
2006-01-11,,1.60000002384186,2.0609588052411
2006-01-12,,0.400000005960464,21.7878115002304
2006-01-13,,0.800000011920929,31.7618403255419
2006-01-14,,0,1.10936418734825
2006-01-15,,0,0
2006-01-16,,0,0
2006-01-17,,22.3699585137847,0
2006-01-18,,0,0.485304099593134
2006-01-19,,0,0.0399532711867099
2006-01-20,,5,21.1481488375394
2006-01-21,,0,0.892747502983365
2006-01-22,,0,0
2006-01-23,,0,0
2006-01-24,,0,0
2006-01-25,,0,0
2006-01-26,,0,0
2006-01-27,,0,0
2006-01-28,,0,10.4607802439558
2006-01-29,,32.4000015258789,10.9430767405636
2006-01-30,,0.400000005960464,6.8005242453444
2006-01-31,,0,0
2006-02-01,,0,0
2006-02-02,,7.80000019073486,2
2006-02-03,,4.19999980926514,0
2006-02-04,,0,0
2006-02-05,,0,0
2006-02-06,,0,0
2006-02-07,,0,0
2006-02-08,,0,0
2006-02-09,,0,0
2006-02-10,,0,0
2006-02-11,,0,0
2006-02-12,,0,0
2006-02-13,,0,0
2006-02-14,,0,0
2006-02-15,,0,0
2006-02-16,,18.1858570249532,0
2006-02-17,,0,0
2006-02-18,,0,0
2006-02-19,,0,0
2006-02-20,,0,0
2006-02-21,,0,0
2006-02-22,,0,0
2006-02-23,,0,0
2006-02-24,,0,0
2006-02-25,,0,0
2006-02-26,,0,0
2006-02-27,,0,0
2006-02-28,,0,0
2006-03-01,,0,0
2006-03-02,,0,0
2006-03-03,,0,0
2006-03-04,,0,0
2006-03-05,,0,0
2006-03-06,,0,0
2006-03-07,,0,0
2006-03-08,,1.12443157166298,0
2006-03-09,,13.8999996185303,26.3110877139041
2006-03-10,,4,31.3656462514295
2006-03-11,,0,16.9335262767572
2006-03-12,,16,42.4794507798233
2006-03-13,,10.6000003814697,0
2006-03-14,,0,0
2006-03-15,,0,0
2006-03-16,,0,0
2006-03-17,,0,0
2006-03-18,,0,0
2006-03-19,,0,0
2006-03-20,,0,0
2006-03-21,,0,0
2006-03-22,,0,0
2006-03-23,,0,0
2006-03-24,,0,0
2006-03-25,,2,2.68838567441091
2006-03-26,,0,0.31161432558909
2006-03-27,,0,0
2006-03-28,,0,0
2006-03-29,,0,0
2006-03-30,,0,0
2006-03-31,,4,0
2006-04-01,,6.80000019073486,0
2006-04-02,,2.5,0
2006-04-03,,14.5,0
2006-04-04,,0,0
2006-04-05,,1.33307941178726,0
2006-04-06,,0,1.66692058821274
2006-04-07,,11,0
2006-04-08,,0,0
2006-04-09,,0,0
2006-04-10,,0,0
2006-04-11,,0,0
2006-04-12,,11.5,0
2006-04-13,,2,0
2006-04-14,,2.40000009536743,0
2006-04-15,,0,0
2006-04-16,,0,0
2006-04-17,,0,0
2006-04-18,,0,0
2006-04-19,,0,0
2006-04-20,,0,0
2006-04-21,,6.40000009536743,0
2006-04-22,,9.80000019073486,0
2006-04-23,,23.3999996185303,0
2006-04-24,,1.39999997615814,0
2006-04-25,,0.400000005960464,0
2006-04-26,,0,0
2006-04-27,,0,0
2006-04-28,,0,0
2006-04-29,,0,0
2006-04-30,,0,0
2006-05-01,,0,0
2006-05-02,,0,0
2006-05-03,,0,0
2006-05-04,,0,0
2006-05-05,,0,0
2006-05-06,,0,0
2006-05-07,,0,0
2006-05-08,,0,0
2006-05-09,,0,0
2006-05-10,,2.20000004768372,0
2006-05-11,,29.3999996185303,0
2006-05-12,,0,0
2006-05-13,,0,0
2006-05-14,,1.60000002384186,0
2006-05-15,,8.39999961853027,0
2006-05-16,,4.80000019073486,0
2006-05-17,,1.39999997615814,0
2006-05-18,,16.2000007629395,0
2006-05-19,,3,0
2006-05-20,,1.20000004768372,0
2006-05-21,,2.79999995231628,0
2006-05-22,,0,0
2006-05-23,,0,0
2006-05-24,,0,0
2006-05-25,,1.10000002384186,0
2006-05-26,,0,0
2006-05-27,,0,0
2006-05-28,,0,0
2006-05-29,,0,0
2006-05-30,,10,0
2006-05-31,,24,0
2006-06-01,,0,0
2006-06-02,,3,0
2006-06-03,,10,0
2006-06-04,,0,0
2006-06-05,,0,0
2006-06-06,,0,0
2006-06-07,,0,0
2006-06-08,,8,0
2006-06-09,,1,0
2006-06-10,,0,0
2006-06-11,,0,0
2006-06-12,,0,0
2006-06-13,,0,0
2006-06-14,,0,0
2006-06-15,,0,0
2006-06-16,,0,0
2006-06-17,,0,0
2006-06-18,,1.39999997615814,0
2006-06-19,,1.39999997615814,0
2006-06-20,,0,0
2006-06-21,,0,0
2006-06-22,,0,0
2006-06-23,,0,0
2006-06-24,,0,0
2006-06-25,,0,0
2006-06-26,,0.600000023841858,0
2006-06-27,,8,0
2006-06-28,,8,0
2006-06-29,,7.5,0
2006-06-30,,5,0
2006-07-01,,2,0
2006-07-02,,0,0
2006-07-03,,0,0
2006-07-04,,3.79999995231628,0
2006-07-05,,0,0
2006-07-06,,0,0
2006-07-07,,0,0
2006-07-08,,0,0
2006-07-09,,10,0
2006-07-10,,18.3999996185303,0
2006-07-11,,9.39999961853027,0
2006-07-12,,20.2000007629395,0
2006-07-13,,0,0
2006-07-14,,2,0
2006-07-15,,0,0
2006-07-16,,0,0
2006-07-17,,4,0
2006-07-18,,0,0
2006-07-19,,0,0
2006-07-20,,12.8000001907349,0
2006-07-21,,0,0
2006-07-22,,3,0
2006-07-23,,0.800000011920929,0
2006-07-24,,0,0
2006-07-25,,0,0
2006-07-26,,13,0
2006-07-27,,1,0
2006-07-28,,0,0
2006-07-29,,0,0
2006-07-30,,0,0
2006-07-31,,0,0
2006-08-01,,0,0
2006-08-02,,18.3999996185303,0
2006-08-03,,5.59999990463257,0
2006-08-04,,0,0
2006-08-05,,0,0
2006-08-06,,0,0
2006-08-07,,0,0
2006-08-08,,0,0
2006-08-09,,0,0
2006-08-10,,0,0
2006-08-11,,0,0
2006-08-12,,0,0
2006-08-13,,0,0
2006-08-14,,3,0
2006-08-15,,0,0
2006-08-16,,0,0
2006-08-17,,0,0
2006-08-18,,0,0
2006-08-19,,1,0
2006-08-20,,0,0
2006-08-21,,0,0
2006-08-22,,0,0
2006-08-23,,4.19999980926514,0
2006-08-24,,0,0
2006-08-25,,12,0
2006-08-26,,6,0
2006-08-27,,0.600000023841858,0
2006-08-28,,1.79999995231628,0
2006-08-29,,0,0
2006-08-30,,0,0
2006-08-31,,0,0
2006-09-01,,0,0
2006-09-02,,25,0
2006-09-03,,2,0
2006-09-04,,0,0
2006-09-05,,1,0
2006-09-06,,0.800000011920929,0
2006-09-07,,0,0
2006-09-08,,14.3999996185303,0
2006-09-09,,3.40000009536743,0
2006-09-10,,0,0
2006-09-11,,0,0
2006-09-12,,14,0
2006-09-13,,1,0
2006-09-14,,0,0
2006-09-15,,0,0
2006-09-16,,0,0
2006-09-17,,0,0
2006-09-18,,24.3999996185303,0
2006-09-19,,0,0
2006-09-20,,14,0
2006-09-21,,0,0
2006-09-22,,13,0
2006-09-23,,0,0
2006-09-24,,12,0
2006-09-25,,2.79999995231628,0
2006-09-26,,0,0
2006-09-27,,24,0
2006-09-28,,0,0
2006-09-29,,2.5,0
2006-09-30,,9,0
2006-10-01,,0,0
2006-10-02,,2.59999990463257,0
2006-10-03,,13,0
2006-10-04,,6,0
2006-10-05,,0,0
2006-10-06,,0,0
2006-10-07,,0,0
2006-10-08,,0,0
2006-10-09,,0,0
2006-10-10,,4.40000009536743,0
2006-10-11,,13,0
2006-10-12,,1,1
2006-10-13,,2.5,0
2006-10-14,,2,0
2006-10-15,,0,0
2006-10-16,,11,0
2006-10-17,,19,0
2006-10-18,,2,0
2006-10-19,,1,0
2006-10-20,,0,0
2006-10-21,,6,0
2006-10-22,,6.09999990463257,0
2006-10-23,,1.20000004768372,0
2006-10-24,,0,0
2006-10-25,,0.200000002980232,0
2006-10-26,,0,0
2006-10-27,,22,0
2006-10-28,,4,1
2006-10-29,,1.20000004768372,0
2006-10-30,,1,0
2006-10-31,,1,0
2006-11-01,,0,0
2006-11-02,,0,0
2006-11-03,,0,0
2006-11-04,,0,0
2006-11-05,,0,0
2006-11-06,,0,0
2006-11-07,,3,0
2006-11-08,,0,0
2006-11-09,,0,0
2006-11-10,,5,0
2006-11-11,,5,0
2006-11-12,,0,0
2006-11-13,,0,0
2006-11-14,,0,0
2006-11-15,,12,0
2006-11-16,,2.20000004768372,0
2006-11-17,,0.600000023841858,0
2006-11-18,,0,0
2006-11-19,,0,0
2006-11-20,,0,0
2006-11-21,,0,0
2006-11-22,,0,0
2006-11-23,,0,0
2006-11-24,,0,0
2006-11-25,,0,0
2006-11-26,,0,0
2006-11-27,,0,0
2006-11-28,,0,0
2006-11-29,,2,0
2006-11-30,,21,0
2006-12-01,,11.3999996185303,0.107305849472264
2006-12-02,,0,0.484042171716917
2006-12-03,,0,0
2006-12-04,,0,0
2006-12-05,,0,0
2006-12-06,,0,0
2006-12-07,,0,0
2006-12-08,,0,0
2006-12-09,,0,0
2006-12-10,,0,0
2006-12-11,,4,5.15057225545039
2006-12-12,,5,16.2580797233604
2006-12-13,,0,0
2006-12-14,,2,0
2006-12-15,,1,0
2006-12-16,,1,0
2006-12-17,,0,0
2006-12-18,,0,0
2006-12-19,,0,0
2006-12-20,,0,0
2006-12-21,,2,0
2006-12-22,,14,0
2006-12-23,,0,0
2006-12-24,,0,0
2006-12-25,,1,0
2006-12-26,,0,0
2006-12-27,,0,0
2006-12-28,,0,0
2006-12-29,,0,0
2006-12-30,,0,0
2006-12-31,,8.70222876050325,0
2007-01-01,,0,1.49777104876188
2007-01-02,,0,0
2007-01-03,,0,0
2007-01-04,,3.5,0
2007-01-05,,6,0
2007-01-06,,0,0
2007-01-07,,1,1
2007-01-08,,0,0
2007-01-09,,0,0
2007-01-10,,0,0
2007-01-11,,0.880425250528296,0
2007-01-12,,1,2.21957477331356
2007-01-13,,0,0
2007-01-14,,0,0
2007-01-15,,0,0
2007-01-16,,0,0
2007-01-17,,0,0
2007-01-18,,0,0
2007-01-19,,0,0
2007-01-20,,0,0
2007-01-21,,0,0
2007-01-22,,0,0
2007-01-23,,0,0
2007-01-24,,0,0
2007-01-25,,0,0
2007-01-26,,0,0
2007-01-27,,0,0
2007-01-28,,0,0
2007-01-29,,0,0
2007-01-30,,0,0
2007-01-31,,0,0
2007-02-01,,0,0
2007-02-02,,0,0
2007-02-03,,0,0
2007-02-04,,0,0
2007-02-05,,0,0
2007-02-06,,0,0
2007-02-07,,0,0
2007-02-08,,0,0
2007-02-09,,0,0
2007-02-10,,0,0
2007-02-11,,0,0
2007-02-12,,0,0
2007-02-13,,0,0
2007-02-14,,0,0
2007-02-15,,0,0
2007-02-16,,0,0
2007-02-17,,0,0
2007-02-18,,0,0
2007-02-19,,0,0
2007-02-20,,0,0
2007-02-21,,0,0
2007-02-22,,0,0
2007-02-23,,0,0
2007-02-24,,0,0
2007-02-25,,0,0
2007-02-26,,0,0
2007-02-27,,0,0
2007-02-28,,0,0
2007-03-01,,0,0
2007-03-02,,0,0
2007-03-03,,0,0
2007-03-04,,0,0
2007-03-05,,0,0
2007-03-06,,0,0
2007-03-07,,0,0
2007-03-08,,0,0
2007-03-09,,0,0
2007-03-10,,0,0
2007-03-11,,0,0
2007-03-12,,0,0
2007-03-13,,0,43.8498138331585
2007-03-14,,2.5,55.7354846915473
2007-03-15,,0,1.9514424592396
2007-03-16,,0,0
2007-03-17,,0,0
2007-03-18,,0,0
2007-03-19,,0,0
2007-03-20,,0.225988266774794,0
2007-03-21,,4.39688766380261,0
2007-03-22,,1,33.8061268531626
2007-03-23,,1,11.4342560892636
2007-03-24,,1,0
2007-03-25,,3,0
2007-03-26,,1.20000004768372,0
2007-03-27,,0,0
2007-03-28,,0,0
2007-03-29,,0,0
2007-03-30,,0,0
2007-03-31,,1.20000004768372,0
2007-04-01,,6,0
2007-04-02,,0,0
2007-04-03,,23.2000007629395,0
2007-04-04,,0,1
2007-04-05,,0,0
2007-04-06,,0,0
2007-04-07,,0,0
2007-04-08,,0,0
2007-04-09,,0,0
2007-04-10,,0,0
2007-04-11,,9.27927152054214,0
2007-04-12,,1.5,5.22072847945786
2007-04-13,,0,0
2007-04-14,,0,0
2007-04-15,,0,0
2007-04-16,,2.59999990463257,0
